"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3705","Verify behaviour when user added checkout information & click on continue button","","Wed Sep 17 23:28:10 IST 2025","passed","Wed Sep 17 23:28:14 IST 2025","","To test checkout page functionality","",""
"","1160","Verify remove button behaviour when user click on remove button","","Wed Sep 17 23:27:57 IST 2025","passed","Wed Sep 17 23:27:58 IST 2025","","To test cart page functionality","",""
"","4591","Verify back to home button behaviour when user click on back to home","","Wed Sep 17 23:28:26 IST 2025","passed","Wed Sep 17 23:28:31 IST 2025","","To test checkout complete page functionality","",""
"","979","Verify login behaviour when user adding invalid credentials","","Wed Sep 17 23:29:00 IST 2025","passed","Wed Sep 17 23:29:01 IST 2025","","To test login functionality","",""
"","2873","Verify add to cart button behaviour when user click on add to cart button","","Wed Sep 17 23:29:10 IST 2025","passed","Wed Sep 17 23:29:13 IST 2025","","To test product page functionality","",""
"","186","test header","","Wed Sep 17 23:29:01 IST 2025","passed","Wed Sep 17 23:29:01 IST 2025","","To test login functionality","",""
"","1708","Verify cancels button behaviour when user click on cancel button","","Wed Sep 17 23:28:14 IST 2025","passed","Wed Sep 17 23:28:16 IST 2025","","To test checkout page functionality","",""
"","4148","Verify cancel button behaviour when user click on cancel button","","Wed Sep 17 23:28:40 IST 2025","passed","Wed Sep 17 23:28:44 IST 2025","","To test checkout overview functionality","",""
"","1754","Verify checkout button behaviour when user click on checkout button","","Wed Sep 17 23:27:55 IST 2025","passed","Wed Sep 17 23:27:57 IST 2025","","To test cart page functionality","",""
"","2605","Verify finish button behaviour when user click on finish button","","Wed Sep 17 23:28:45 IST 2025","passed","Wed Sep 17 23:28:47 IST 2025","","To test checkout overview functionality","",""
"","2309","Verify login behaviour when user adding valid credentials","","Wed Sep 17 23:28:57 IST 2025","passed","Wed Sep 17 23:28:59 IST 2025","","To test login functionality","",""
"","1083","Verify shopping cart icon behaviour when user click on shopping cart icon","","Wed Sep 17 23:29:14 IST 2025","passed","Wed Sep 17 23:29:15 IST 2025","","To test product page functionality","",""
